McD=0_SB=1;Category;Kind;Item;Energy(kcal);Fat(g);Carbohydrates(g);Fiber(g);Protein(g);Sodium(g)
1;food;Bakery;Chonga Bagel;300;5;50;3;12;0.53
1;food;Bakery;8-Grain Roll;380;6;70;7;10;0.43
1;food;Bakery;Almond Croissant;410;22;45;3;10;0.39
1;food;Bakery;Banana Nut Bread;420;22;52;2;6;0.32
1;food;Bakery;Birthday Cake Pop;170;9;23;0;1;0.11
1;food;Bakery;Blueberry Muffin;360;15;52;1;5;0.27
1;food;Bakery;Blueberry Oat Cake;390;12;71;7;7;0.43
1;food;Bakery;Blueberry Scone;420;17;61;2;5;0.35
1;food;Bakery;Butter Croissant;240;12;28;1;5;0.32
1;food;Bakery;Cheese Danish;320;16;36;1;8;0.4
1;food;Bakery;Chocolate Cake Pop;160;8;23;1;2;0.08
1;food;Bakery;Chocolate Chip Cookie;310;15;42;2;4;0.22
1;food;Bakery;Chocolate Chip Cookie Dough Cake Pop;180;9;23;0;2;0.08
1;food;Bakery;Chocolate Croissant;330;18;38;1;6;0.28
1;food;Bakery;Cinnamon Raisin Bagel;270;1;58;3;9;0.37
1;food;Bakery;Classic Coffee Cake;390;16;57;1;5;0.27
1;food;Bakery;Confetti Sugar Cookie;410;21;54;0;4;0.22
1;food;Bakery;Double Chocolate Chunk Brownie;490;28;55;3;7;0.22
1;food;Bakery;Everybody's Favorite - Bantam Bagel (2 Pack);100;3.5;14;0;3;0.28
1;food;Bakery;Everything Bagel with Cheese;290;3.5;53;2;11;0.45
1;food;Bakery;French Toast - Bantam Bagels (2 Pack);200;8;30;0;6;0.36
1;food;Bakery;Frosted Doughnut Cake Pop;390;23;45;1;4;0.14
1;food;Bakery;Gluten-Free Marshmallow Dream Bar;240;5;45;0;2;0.22
1;food;Bakery;Iced Lemon Loaf Cake;470;20;68;1;6;0.31
1;food;Bakery;Morning Bun;420;22;46;1;9;0.44
1;food;Bakery;Old-Fashioned Glazed Doughnut;480;27;56;1;5;0.41
1;food;Bakery;Petite Vanilla Bean Scone;120;4.5;18;0;2;0.095
1;food;Bakery;Plain Bagel;280;1.5;56;2;9;0.62
1;food;Bakery;Pumpkin Bread;410;15;63;2;6;0.5
1;food;Bakery;Pumpkin Cream Cheese Muffin;350;14;53;1;5;0.43
1;food;Bakery;Pumpkin Scone;500;23;70;1;4;0.45
1;food;Bakery;Sprouted Grain Vegan Bagel;330;6;57;7;12;0.49
1;food;Bakery;Strawberry Cake Pop;180;9;23;0;2;0.08
1;food;Bakery;The Classic - Bantam Bagels (2 Pack);200;8;28;0;6;0.27
1;food;Salads;Cage-Free Eggs & Seasoned Grains Side Salad;360;18;33;3;17;0.46
1;food;Salads;Cauliflower Tabbouleh Side Salad;130;12;7;3;2;0.52
1;food;Cold Sandwiches;Chicken & Fig Spread;460;13;61;5;24;0.94
1;food;Cold Sandwiches;Chipotle Chicken Wrap;470;19;55;4;22;1.05
