McD/SB,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g)
SB,food,Bakery,Chonga Bagel,300,5.0,50,3.0,12,0.53
SB,food,Bakery,8-Grain Roll,380,6.0,70,7.0,10,0.43
SB,food,Bakery,Almond Croissant,410,22.0,45,3.0,10,0.39
SB,food,Bakery,Banana Nut Bread,420,22.0,52,2.0,6,0.32
SB,food,Bakery,Birthday Cake Pop,170,9.0,23,0.0,1,0.11
SB,food,Bakery,Blueberry Muffin,360,15.0,52,1.0,5,0.27
SB,food,Bakery,Blueberry Oat Cake,390,12.0,71,7.0,7,0.43
SB,food,Bakery,Blueberry Scone,420,17.0,61,2.0,5,0.35
SB,food,Bakery,Butter Croissant,240,12.0,28,1.0,5,0.32
SB,food,Bakery,Cheese Danish,320,16.0,36,1.0,8,0.4
SB,food,Bakery,Chocolate Cake Pop,160,8.0,23,1.0,2,0.08
SB,food,Bakery,Chocolate Chip Cookie,310,15.0,42,2.0,4,0.22
SB,food,Bakery,Chocolate Chip Cookie Dough Cake Pop,180,9.0,23,0.0,2,0.08
SB,food,Bakery,Chocolate Croissant,330,18.0,38,1.0,6,0.28
SB,food,Bakery,Cinnamon Raisin Bagel,270,1.0,58,3.0,9,0.37
SB,food,Bakery,Classic Coffee Cake,390,16.0,57,1.0,5,0.27
SB,food,Bakery,Confetti Sugar Cookie,410,21.0,54,0.0,4,0.22
SB,food,Bakery,Double Chocolate Chunk Brownie,490,28.0,55,3.0,7,0.22
SB,food,Bakery,Everybody's Favorite - Bantam Bagel (2 Pack),100,3.5,14,0.0,3,0.28
SB,food,Bakery,Everything Bagel with Cheese,290,3.5,53,2.0,11,0.45
SB,food,Bakery,French Toast - Bantam Bagels (2 Pack),200,8.0,30,0.0,6,0.36
SB,food,Bakery,Frosted Doughnut Cake Pop,390,23.0,45,1.0,4,0.14
SB,food,Bakery,Gluten-Free Marshmallow Dream Bar,240,5.0,45,0.0,2,0.22
SB,food,Bakery,Iced Lemon Loaf Cake,470,20.0,68,1.0,6,0.31
SB,food,Bakery,Morning Bun,420,22.0,46,1.0,9,0.44
SB,food,Bakery,Old-Fashioned Glazed Doughnut,480,27.0,56,1.0,5,0.41
SB,food,Bakery,Petite Vanilla Bean Scone,120,4.5,18,0.0,2,0.095
SB,food,Bakery,Plain Bagel,280,1.5,56,2.0,9,0.62
SB,food,Bakery,Pumpkin Bread,410,15.0,63,2.0,6,0.5
SB,food,Bakery,Pumpkin Cream Cheese Muffin,350,14.0,53,1.0,5,0.43
SB,food,Bakery,Pumpkin Scone,500,23.0,70,1.0,4,0.45
SB,food,Bakery,Sprouted Grain Vegan Bagel,330,6.0,57,7.0,12,0.49
SB,food,Bakery,Strawberry Cake Pop,180,9.0,23,0.0,2,0.08
SB,food,Bakery,The Classic - Bantam Bagels (2 Pack),200,8.0,28,0.0,6,0.27
SB,food,Salads,Cage-Free Eggs & Seasoned Grains Side Salad,360,18.0,33,3.0,17,0.46
SB,food,Salads,Cauliflower Tabbouleh Side Salad,130,12.0,7,3.0,2,0.52
SB,food,Cold Sandwiches,Chicken & Fig Spread,460,13.0,61,5.0,24,0.94
SB,food,Protein Boxes & Bowls,Farmers' Market Protein Box,470,29.0,29,4.0,21,0.88
SB,food,Salads,Garden Greens & Shaved Parmesan Side Salad,170,13.0,9,2.0,7,0.6
SB,food,Salads,Roasted Carrot & Kale Side Salad,440,26.0,44,7.0,10,0.4
SB,food,Cold Sandwiches,Roasted Turkey & Dill Havarti Sandwich,600,32.0,47,6.0,32,0.86
SB,food,Warm Sandwiches,Seasoned Turkey & Green Pepper Pico,390,18.0,30,5.0,28,0.9
SB,food,Yogurt & Custard,Strawberry & Toasted Almonds Overnight Grains,410,24.0,42,5.0,7,0.035
SB,food,Salads,Za'atar Chicken & Lemon Tahini Salad,570,23.0,67,11.0,27,0.88
SB,food,Protein Boxes & Bowls,Cheese & Fruit Protein Box,450,27.0,34,4.0,20,0.62
SB,food,Protein Boxes & Bowls,Creminelli Sopressata Monterey Jack Snack Tray,220,17.0,0,0.0,15,0.72
SB,food,Protein Boxes & Bowls,Eggs & Cheese Protein Box,460,24.0,40,5.0,23,0.54
SB,food,Protein Boxes & Bowls,PB&J Protein Box,520,26.0,53,5.0,20,0.57
