,McD=0_SB=1,Category,Kind,Item,Energy(kcal),Fat(g),Carbohydrates(g),Fiber(g),Protein(g),Sodium(g),b_Energy(kcal),b_Fat(g),b_Carbohydrates(g),b_Fiber(g),b_Protein(g),b_Sodium(g),d_Energy(kcal),d_Fat(g),d_Carbohydrates(g),d_Fiber(g),d_Protein(g),d_Sodium(g)
0,1,food,Bakery,Chonga Bagel,300,5.0,50,3.0,12,0.53,0.41379310344827586,0.20618556701030927,0.4750593824228028,0.6,0.5517241379310345,1.2183908045977012,0.2955665024630542,0.1472754050073638,0.33932813030200204,0.42857142857142855,0.39408866995073893,0.9380530973451329
1,1,food,Bakery,8-Grain Roll,380,6.0,70,7.0,10,0.43,0.5241379310344828,0.24742268041237114,0.665083135391924,1.4,0.45977011494252873,0.9885057471264368,0.374384236453202,0.17673048600883653,0.4750593824228029,1.0,0.3284072249589491,0.7610619469026549
2,1,food,Bakery,Almond Croissant,410,22.0,45,3.0,10,0.39,0.5655172413793104,0.9072164948453608,0.42755344418052255,0.6,0.45977011494252873,0.896551724137931,0.40394088669950745,0.6480117820324006,0.30539531727180186,0.42857142857142855,0.3284072249589491,0.6902654867256638
3,1,food,Bakery,Banana Nut Bread,420,22.0,52,2.0,6,0.32,0.5793103448275863,0.9072164948453608,0.49406175771971494,0.4,0.27586206896551724,0.735632183908046,0.4137931034482759,0.6480117820324006,0.35290125551408214,0.2857142857142857,0.19704433497536947,0.5663716814159293
4,1,food,Bakery,Birthday Cake Pop,170,9.0,23,0.0,1,0.11,0.23448275862068965,0.3711340206185567,0.21852731591448932,0.0,0.04597701149425287,0.25287356321839083,0.16748768472906406,0.26509572901325484,0.15609093993892095,0.0,0.03284072249589491,0.1946902654867257
5,1,food,Bakery,Blueberry Muffin,360,15.0,52,1.0,5,0.27,0.496551724137931,0.6185567010309279,0.49406175771971494,0.2,0.22988505747126436,0.6206896551724138,0.3546798029556651,0.44182621502209135,0.35290125551408214,0.14285714285714285,0.16420361247947454,0.47787610619469034
6,1,food,Bakery,Blueberry Oat Cake,390,12.0,71,7.0,7,0.43,0.5379310344827586,0.4948453608247423,0.6745843230403801,1.4,0.3218390804597701,0.9885057471264368,0.3842364532019705,0.35346097201767307,0.4818459450288429,1.0,0.22988505747126436,0.7610619469026549
7,1,food,Bakery,Blueberry Scone,420,17.0,61,2.0,5,0.35,0.5793103448275863,0.7010309278350515,0.5795724465558195,0.4,0.22988505747126436,0.8045977011494252,0.4137931034482759,0.5007363770250369,0.4139803189684425,0.2857142857142857,0.16420361247947454,0.6194690265486725
8,1,food,Bakery,Butter Croissant,240,12.0,28,1.0,5,0.32,0.3310344827586207,0.4948453608247423,0.2660332541567696,0.2,0.22988505747126436,0.735632183908046,0.23645320197044337,0.35346097201767307,0.19002375296912113,0.14285714285714285,0.16420361247947454,0.5663716814159293
9,1,food,Bakery,Cheese Danish,320,16.0,36,1.0,8,0.4,0.4413793103448276,0.6597938144329897,0.342042755344418,0.2,0.367816091954023,0.9195402298850576,0.3152709359605912,0.4712812960235641,0.2443162538174415,0.14285714285714285,0.2627257799671593,0.7079646017699116
