('Soups', 'Bakery', 'Cold Drinks')
('Soups', 'Bakery', 'Hot Drinks')
('Soups', 'Cold Sandwiches', 'Cold Drinks')
('Soups', 'Cold Sandwiches', 'Hot Drinks')
('Soups', 'Warm Sandwiches', 'Cold Drinks')
('Soups', 'Warm Sandwiches', 'Hot Drinks')
('Salads', 'Bakery', 'Cold Drinks')
('Salads', 'Bakery', 'Hot Drinks')
('Salads', 'Cold Sandwiches', 'Cold Drinks')
('Salads', 'Cold Sandwiches', 'Hot Drinks')
('Salads', 'Warm Sandwiches', 'Cold Drinks')
('Salads', 'Warm Sandwiches', 'Hot Drinks')
('Protein Boxes & Bowls', 'Bakery', 'Cold Drinks')
('Protein Boxes & Bowls', 'Bakery', 'Hot Drinks')
('Protein Boxes & Bowls', 'Cold Sandwiches', 'Cold Drinks')
('Protein Boxes & Bowls', 'Cold Sandwiches', 'Hot Drinks')
('Protein Boxes & Bowls', 'Warm Sandwiches', 'Cold Drinks')
('Protein Boxes & Bowls', 'Warm Sandwiches', 'Hot Drinks')
('Hot Breakfast', 'Bakery', 'Cold Drinks')
('Hot Breakfast', 'Bakery', 'Hot Drinks')
('Hot Breakfast', 'Cold Sandwiches', 'Cold Drinks')
('Hot Breakfast', 'Cold Sandwiches', 'Hot Drinks')
('Hot Breakfast', 'Warm Sandwiches', 'Cold Drinks')
('Hot Breakfast', 'Warm Sandwiches', 'Hot Drinks')
