('Bakery', 'Chocolates & Candy', 'Cold Drinks')
('Bakery', 'Chocolates & Candy', 'Hot Drinks')
('Bakery', 'Fruit & Nuts', 'Cold Drinks')
('Bakery', 'Fruit & Nuts', 'Hot Drinks')
('Bakery', 'Biscotti & Cookies', 'Cold Drinks')
('Bakery', 'Biscotti & Cookies', 'Hot Drinks')
('Bakery', 'Yogurt & Custard', 'Cold Drinks')
('Bakery', 'Yogurt & Custard', 'Hot Drinks')
('Cold Sandwiches', 'Chocolates & Candy', 'Cold Drinks')
('Cold Sandwiches', 'Chocolates & Candy', 'Hot Drinks')
('Cold Sandwiches', 'Fruit & Nuts', 'Cold Drinks')
('Cold Sandwiches', 'Fruit & Nuts', 'Hot Drinks')
('Cold Sandwiches', 'Biscotti & Cookies', 'Cold Drinks')
('Cold Sandwiches', 'Biscotti & Cookies', 'Hot Drinks')
('Cold Sandwiches', 'Yogurt & Custard', 'Cold Drinks')
('Cold Sandwiches', 'Yogurt & Custard', 'Hot Drinks')
('Warm Sandwiches', 'Chocolates & Candy', 'Cold Drinks')
('Warm Sandwiches', 'Chocolates & Candy', 'Hot Drinks')
('Warm Sandwiches', 'Fruit & Nuts', 'Cold Drinks')
('Warm Sandwiches', 'Fruit & Nuts', 'Hot Drinks')
('Warm Sandwiches', 'Biscotti & Cookies', 'Cold Drinks')
('Warm Sandwiches', 'Biscotti & Cookies', 'Hot Drinks')
('Warm Sandwiches', 'Yogurt & Custard', 'Cold Drinks')
('Warm Sandwiches', 'Yogurt & Custard', 'Hot Drinks')
